"HASC_2","JC","complexBCJC","F1","BCJCxBCJA","F2xBCJC","BCJCxBC2JAvs","BC2JC","BCJC","F2","complexBCF","complexBCJA","BCJA","JA","BCJAxBCJA","BCJCxBC3JC","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc","Hybrids","Hybrid_perc"
"CA.NB.CA",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965857142857,0,0
"CA.NB.KI",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999658,0,0
"CA.NB.NO",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996377346153846,0,0
"CA.NB.SU",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99327172,0,0
"CA.NB.VI",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999656,0,0
"CA.NB.YO",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995087023809524,0,0
"CA.ON.DF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,0
"CA.ON.DR",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.EL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.ES",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965666666667,0,0
"CA.ON.FR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.GR",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996575,0,0
"CA.ON.HA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.HN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.HT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,0
"CA.ON.HU",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,0
"CA.ON.KT",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964333333333,0,0
"CA.ON.LG",40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998888674418605,3,0.0697674418604651
"CA.ON.LM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.LN",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.MI",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,0
"CA.ON.NG",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840170666666667,1,0.333333333333333
"CA.ON.OT",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999646,0,0
"CA.ON.PB",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995642935483871,0,0
"CA.ON.PL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.PR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.RE",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995178571428571,0,0
"CA.ON.SC",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993291037037037,0,0
"CA.ON.SD",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996525,0,0
"CA.ON.VI",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"CA.ON.YO",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999655,0,0
"CA.QC.FR",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999122,0,0
"CA.QC.MG",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,0
"CA.QC.OU",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571595,1,1
"CA.QC.PN",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9507632,1,0.1
"CA.QC.PP",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999653,0,0
"CA.QC.QU",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999959444444444,0,0
"CA.QC.VS",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964571428571,0,0
"US.AL.CL",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967459333333333,1,0.166666666666667
"US.AR.BA",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999648,0,0
"US.AR.LE",19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97255,1,0.05
"US.AR.NW",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,0
"US.AR.PH",17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965111111111111,1,0.0555555555555556
"US.CT.FA",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63466225,4,1
"US.CT.HA",5,0,5,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693126444444444,13,0.722222222222222
"US.CT.LI",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,2,1
"US.CT.MI",0,1,6,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.472333214285714,14,1
"US.CT.NH",4,1,8,0,0,0,0,7,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0.535033333333333,24,0.8
"US.CT.NL",1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.462666666666667,3,0.5
"US.CT.TO",2,0,0,0,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7415618,8,0.8
"US.CT.WI",1,1,3,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.56553675,11,0.916666666666667
"US.DE.NE",2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.6205,3,0.5
"US.IA.AL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IA.BO",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760245,1,0.5
"US.IA.CT",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IA.DL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IA.DS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IA.FO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IA.GH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0,0
"US.IA.LE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999953,0,0
"US.IA.MI",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8885,1,0.25
"US.IA.MS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999645,0,0
"US.IA.PK",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968541888888889,1,0.111111111111111
"US.IA.ST",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IA.WE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995,0,0
"US.IL.AL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996275,0,0
"US.IL.BO",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958,0,0
"US.IL.CH",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999645,0,0
"US.IL.DK",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973662222222222,1,0.111111111111111
"US.IL.DU",49,6,2,1,14,1,4,0,0,0,0,0,3,0,6,3,2,0,0,0,0,0,0,0.872700406593407,39,0.428571428571429
"US.IL.HY",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,0
"US.IL.JC",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,0
"US.IL.JO",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7508425,1,0.5
"US.IL.KX",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.204372,1,1
"US.IL.LA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,0
"US.IL.MD",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803577,1,1
"US.IL.MY",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999854166666667,0,0
"US.IL.PI",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970030666666667,1,0.166666666666667
"US.IL.PT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,0
"US.IL.RO",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8448852,3,0.6
"US.IL.SI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637216,1,1
"US.IL.SM",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965666666667,0,0
"US.IL.TA",2,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.758247111111111,6,0.666666666666667
"US.IL.VE",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.5e-05,0,0
"US.IL.WN",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965444444444,0,0
"US.IL.WO",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705371,1,1
"US.IN.BA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IN.BO",4,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.768946,7,0.636363636363636
"US.IN.BR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,0
"US.IN.CS",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990305428571429,1,0.0476190476190476
"US.IN.DU",5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891664428571429,2,0.285714285714286
"US.IN.EL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IN.FA",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8796445,1,0.5
"US.IN.FU",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95516875,1,0.25
"US.IN.JN",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999857,0,0
"US.IN.KN",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971485375,1,0.125
"US.IN.KO",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.593704333333333,2,0.666666666666667
"US.IN.LA",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IN.LG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.IN.LW",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999907142857143,0,0
"US.IN.MG",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886563,2,0.666666666666667
"US.IN.MN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9915945,1,0.5
"US.IN.MO",2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7738162,3,0.6
"US.IN.MS",4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.842443909090909,7,0.636363636363636
"US.IN.NO",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8845595,2,0.5
"US.IN.OR",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999252,0,0
"US.IN.PR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997595,0,0
"US.IN.SE",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631892333333333,2,0.666666666666667
"US.IN.SH",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58624,1,1
"US.IN.SN",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736606,1,1
"US.IN.SR",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847159,1,1
"US.IN.TP",11,0,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.767354,6,0.333333333333333
"US.IN.VE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,0
"US.IN.WL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,0
"US.IN.WY",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.839545,2,1
"US.KY.BK",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7569905,1,0.5
"US.KY.BN",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861,1,1
"US.KY.CR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,0
"US.KY.ED",53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987907407407407,1,0.0185185185185185
"US.KY.FE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962,0,0
"US.KY.GN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962,0,0
"US.KY.HS",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996425,0,0
"US.KY.HT",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954909090909091,1,0.0909090909090909
"US.KY.JS",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7616635,1,0.5
"US.KY.LI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,0
"US.KY.LO",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0095,0,0
"US.KY.LR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999807,0,0
"US.KY.MD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889739,1,1
"US.KY.PO",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968267,1,0.166666666666667
"US.KY.TA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99988,0,0
"US.KY.TG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999769,0,0
